Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Community Choice Cupboard (Feast of Justice),https://www.auntbertha.com//feast-of-justice--philadelphia-pa--community-choice-cupboard/5684952704221184?postal=19114,['food pantry'],['emergency food'],"['anyone in need', 'all ages', 'individuals', 'families']",215-268-3510,https://www.feastofjustice.org/guestappointments,"3101 Tyson Avenue, Philadelphia, PA 19149","https://www.google.com/maps/?q=3101+Tyson+Avenue,+Philadelphia,+PA+19149/","['In order to register you must show valid ID, proof of residency in these areas: 19111, 19114, 19115, 19116, 19124, 19135, 19136, 19149, 19152, and 19154 for all family members.', 'Anyone can access this program.']",available,"Feast of Justice's Community Food Cupboard provides quality food item two times per month for households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.

This program provides:

- Food to meet basic nutritional needs

Two shopping options are provided by the Community Cupboard: Community Choice Cupboard (formally known as inside choice shopping) & our Pantry Express Pick Up. For Our Pantry Express Pick Up, participants receive a package that contains a pre-packed, large set of dry goods (based on household size), and will offer selections of produce, and meat/dairy/bread as available . Please note: guests may use each option one time per month.

Feast of Justice serves the following zip codes:
19111
19114
19115
19116
19120
19124
19135
19136
19149
19152
19154",['English'],Free,Yes,https://www.facebook.com/FeastOfJusticePhiladelphia/,None,"This program covers residents of the following postal codes: 19111, 19114, 19115, 19116, 19124, 19135, 19136, 19149, 19152 and 19154.",40.0372116,-75.052406,19149,No,Closed,6:00 - 9:00AM,1:00PM - 4:00PM  PST,7:00 - 9:00AM,Closed,7:00AM - 1:00PM,Closed,4.6,Food
Food Bank (Eastwick United Methodist Church),https://www.auntbertha.com//eastwick-united-methodist-church--philadelphia-pa--food-bank/5883670159425536?postal=19111,['food pantry'],['clothing'],"['anyone in need', 'all ages']",215-365-6352,http://eastwickumc.org/ministries/,"8325 Lindbergh Boulevard, Philadelphia, PA 19153","https://www.google.com/maps/?q=8325+Lindbergh+Boulevard,+Philadelphia,+PA+19153/",['Anyone can access this program.'],available,Our food bank is a three-day per week ministry serving Southwest Philadelphia and some parts of Delaware County with food and clothing distribution. It has an added component of Bible Study for those who wish to participate and serves as an evangelistic outreach witness for the church.Services provided:- Food to meet basic nutritional needs- Clothing distribution,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.8981827,-75.252486,19153,No,10:00AM - 1:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,Closed,Closed,Closed,Closed,4.8,Food
Small Things Market (Small Things),https://www.auntbertha.com//small-things--philadelphia-pa--small-things-market/6499735280943104?postal=19109,"['food pantry', 'personal care items', 'community support services']","['food pantry', 'personal care items', 'community support services']","['anyone in need', 'all ages', 'individuals', 'families']",267-702-0314,https://www.smallthingsphilly.org/programs,"3510 A Street, Philadelphia, PA 19134","https://www.google.com/maps/?q=3510+A+Street,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"Small Things Market is a full-choice model ""free grocery store"" and community resource hub offering a varied selection of food and personal items at no cost, as well as connections to resources and services for their guests. This program provides:- Food- Personal care items- Community resources",['English'],Free,Yes,https://facebook.com/smallthingsphilly,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0033361,-75.126487,19134,No,Closed,Closed,11:00AM - 15:00PM,Closed,9:00AM - 12:00PM,10:00AM - 1:00PM,Closed,0,Food
Food and Clothing Pantry (Calvary Baptist Church),https://www.auntbertha.com//calvary-baptist-church--philadelphia-pa--food-and-clothing-pantry/5527695317532672?postal=19109,"['food pantry', 'clothing']","['food pantry', 'clothing']","['anyone in need', 'all ages']",215-747-9979,https://calvaryphilly.org/,"6122 Haverford Avenue, Philadelphia, PA 19151","https://www.google.com/maps/?q=6122+Haverford+Avenue,+Philadelphia,+PA+19151/",['Anyone can access this program.'],available,"The food and clothing pantry serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else that comes to the pantry.This program provides:- Food to meet basic nutritional needs- ClothingFood and clothing are distributed on Mondays and Wednesdays from 10am - 12pm.",['English'],Free,Yes,https://www.facebook.com/CalvaryPhilly/,https://www.twitter.com/@CalvaryPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9710263,-75.241685,19151,No,10:00AM - 12:00PM,Closed,10:00AM - 12:00PM,Closed,Closed,Closed,Closed,4.6,Food
Drive To End Hunger Ministry (Pinn Memorial Baptist Church),https://www.auntbertha.com//pinn-memorial-baptist-church--philadelphia-pa--drive-to-end-hunger-ministry/6400790418423808?postal=19109,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",215-878-2742,https://www.pinnmemorialbc.org/,"2251 North 54th Street, Philadelphia, PA 19131","https://www.google.com/maps/place/2251+N+54th+St,+Philadelphia,+PA+19131/",['Anyone can access this program.'],available,"Pinn Memorial Baptist Church helps alleviate hunger in the community in an environment of respect, care and hospitality.This program provides:- Foods to meet basic nutritional needsFood is distributed every Wednesday from 10am - 2pm.",['English'],Free,Yes,https://www.facebook.com/pages/Pinn-Memorial-Baptist-Church/157825504244890,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9908262,-75.2354843,19131,No,Closed,Closed,10:00AM - 12:00PM,Closed,Closed,Closed,Closed,4.4,Food
Food Distribution (Circle of Hope),https://www.auntbertha.com//circle-of-hope--philadelphia-pa--food-distribution/6326304658030592?postal=19109,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",856-320-8230,https://www.circleofhope.church/,"2212 South Broad Street, Philadelphia, PA 19145","https://www.google.com/maps/?q=2212+South+Broad+Street,+Philadelphia,+PA+19145/",['Those program serves those in Philadelphia and South Jersey.'],full,"Circle of Hope offers food distribution through mutual aid, based on what is currently available.This program provides: - Food distributionPlease note that while those in need can generally call to be added to the waitlist, the list is past capacity and Circle of Hope is not currently accepting new requests for food.",['English'],Free,Yes,https://www.facebook.com/CircleofHopePhillyRegion/,https://www.twitter.com/@CircleofHopeNet,"This program covers residents of the following counties: Camden County, NJ and Philadelphia County, PA.",39.9227241,-75.170385,19145,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3.9,Food
Food Pantry (Saint Paul's Evangelical Lutheran Church),https://www.auntbertha.com//saint-paul%2527s-evangelical-lutheran-church--philadelphia-pa--food-pantry/6117146080575488?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-424-4800,http://st-pauls-lutheran-church3.bridgeelementcms.com/pop-up-manger,"5900 North 5th Street, Philadelphia, PA 19120","https://www.google.com/maps/?q=5900+North+5th+Street,+Philadelphia,+PA+19120/",['Anyone can access this program.'],available,"Saint Paul's Evangelical Lutheran Church helps alleviate hunger in the community in an environment of respect, care and hospitality.This program provides:- Foods to meet basic nutritional needsPlease call for any updated information.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0414451,-75.129794,19120,No,9:00AM - 12:00PM,Closed,9:00AM - 12:00PM,Closed,Closed,Closed,Closed,4.6,Food
Comida conAMor/Food with Love (Iglesia Cristiana Avivamiento),https://www.auntbertha.com//iglesia-cristiana-avivamiento--philadelphia-pa--comida-con-amor-food-with-love/5390458589806592?postal=19123,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-856-3932,http://www.avivamientophilly.com/,"5500 Tabor Avenue, Philadelphia, PA 19120","https://www.google.com/maps/?q=5500+Tabor+Avenue,+Philadelphia,+PA+19120/",['Anyone can access this program.'],available,"Food with Love serves local communities in the Northeast Philadelphia area and is staffed entirely by volunteers. Food with Love/Comida conAMor operates through donations from the business community, individual sponsors, and the Revival Church congregation.This program provides:- Food to meet basic nutritional needs","['English', 'Spanish']",Free,No,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0367501,-75.104731,19120,No,Closed,10:00AM - 3:00PM,Closed,10:00AM - 3:00PM,Closed,Closed,Closed,4.8,Food
Food Pantry (Turning Points for Children),https://www.auntbertha.com//turning-points-for-children--philadelphia-pa--food-pantry/6317383527694336?postal=19121,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",833-926-2331,https://turningpointsforchildren.phmc.org/programs/fawn,"6601 Elmwood Avenue, Philadelphia, PA 19142","https://www.google.com/maps/?q=6601+Elmwood+Avenue,+Philadelphia,+PA+19142/",['Anyone can access this program.'],available,"Food and Wellness Network (FAWN) food pantry serves children, adults or senior citizens with limited or no income, who simply have fallen on hard times or recently unemployed and need assistance to make ends meet. Services provided to our community include:- Food to meet basic nutritional needs",['English'],Free,Yes,https://www.facebook.com/TurningPointsforChildren,https://www.twitter.com/@TP4C,"This program covers residents of the following counties: Philadelphia County, PA.",39.9215039,-75.232455,19142,No,Closed,Closed,Closed,Closed,10:00AM - 2:00PM,Closed,Closed,3.8,Food
Food Pantry (St. Barbara's Roman Catholic Church),https://www.auntbertha.com//st.-barbara%2527s-roman-catholic-church--philadelphia-pa--food-pantry/4851628329664512?postal=19103,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-473-1044,https://stbarbphila.org/events/food-pantry-ph,"5359 Lebanon Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/profile.php?id=100083359778002,https://www.twitter.com/@SaintBarbPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",39.9878915,-75.231451,19131,No,Closed,11:00AM - 12:30PM,Closed,Closed,Closed,Closed,Closed,4.6,Food
Food Pantry (Somerton Interfaith Food Bank),https://www.auntbertha.com//somerton-interfaith-food-bank--philadelphia-pa--food-pantry/6641549530365952?postal=19116,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",215-673-1117,http://somertonfoodbank.webs.com,"510 Somerton Avenue, Philadelphia, PA 19116","https://www.google.com/maps/?q=510+Somerton+Avenue,+Philadelphia,+PA+19116/",['We serve anyone in need.'],available,"The Somerton Interfaith Food Pantry provides assistance to families and individuals who have limited or no income, who simply have fallen on hard times or recently unemployed and need assistance to make ends meet.This program provides:  - Food to meet basic nutritional needs",['English'],Free,Yes,None,None,"This program covers residents of the following postal codes: 19006, 19020, 19053, 19114, 19115, 19116, 19136, 19152 and 19154.",40.122485,-75.019061,19116,No,9:30AM - 12:00PM,Closed,9:30AM - 12:00PM,Closed,Closed,Closed,Closed,4.8,Food
Food Pantry (Saint Ignatius of Loyola),https://www.auntbertha.com//saint-ignatius-of-loyola--philadelphia-pa--food-pantry/4869860969676800?postal=19104,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families', 'low-income']",215-386-5065,https://www.phoenixclc.org/,"636 North 43rd Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=636+North+43rd+Street,+Philadelphia,+PA+19104/",['Must live in 19104 zip code to receive services'],available,"St Ignatius of Loyola addresses the needs of low-income individuals and households that lack a reliable access to affordable, nutritious food and may experience hunger on a regular basis.This program provides:- Nutritious foods Individuals are able to apply for services at the location, and receive a bag of groceries once a month. You may sign up for an additional Senior Box for those who are 55 and up on the 3rd Tuesday of the month. Please call to confirm hours of operation.",['English'],Free,Yes,https://www.facebook.com/SaintIgnatiusWestPhilly,None,This program covers residents of the following postal codes: 19104.,39.9639321,-75.209572,19104,No,Closed,10:00AM - 12:00PM,Closed,Closed,Closed,Closed,Closed,4.7,Food
Resource Fair (The Simple Way),https://www.auntbertha.com//the-simple-way--philadelphia-pa--resource-fair/5846171090944000?postal=19124,"['food pantry', 'clothing', 'navigating the system']","['food pantry', 'clothing', 'navigating the system']","['anyone in need', 'all ages', 'individuals', 'families', 'limited english']",215-423-3598,https://thesimpleway.org/what-we-do/,"3234 Potter Street, Philadelphia, PA 19134","https://www.google.com/maps/?q=3234+Potter+Street,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,"On the third Wednesday of every month from 10AM to 12PM, we host a resource fair in partnership with Esperanza Health Center. Located at 3222 H Street, the resource fair offers food, clothing, and other resources. Appointments are not necessary. 

In addition, we have a community refrigerator outside located around the corner from 3234 Potter Street on Westmoreland with fresh food available. 

Individuals who are interested in receiving updates on our events can text â€śFOODâ€ť to 866-551-1675 for updates and the latest information about events, timing, and changes, or follow us on Facebook, Instagram, or Twitter.","['English', 'Spanish']",Free,Yes,https://www.facebook.com/theSimpleWay/,https://www.twitter.com/@theSimpleWay,"This program covers residents of the following counties: Philadelphia County, PA.",39.9978678,-75.11219,19134,No,12:30PM - 2:30PM,12:30PM - 2:30PM,Closed,Closed,9:30 - 11:30AM,Closed,Closed,4.6,Food
Food Cupboard (Saint Vincent de Paul Church),https://www.auntbertha.com//saint-vincent-de-paul-church--philadelphia-pa--food-cupboard/5957549088833536?postal=19119,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",215-438-2925,https://saint-vincent-church.org/,"109 East Price Street, Philadelphia, PA 19144","https://www.google.com/maps/?q=109+East+Price+Street,+Philadelphia,+PA+19144/","['Serves residents of 19119, 19138, 19144, and 19150.']",available,"The food pantry serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance. This program provides: - Food to meet basic nutritional needs",['English'],Free,Yes,https://www.facebook.com/StVincentDePaulCatholicCommunity/,None,"This program covers residents of the following postal codes: 19119, 19138, 19144 and 19150.",40.0383304,-75.17442,19144,No,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,4.8,Food
Food Pantry (Church Of New Hope And Faith),https://www.auntbertha.com//church-of-new-hope-and-faith--philadelphia-pa--food-pantry/5393961702391808?postal=19104,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families']",215-222-7672,https://www.newhopeandfaith.org/,"661 North 39th Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=661+North+39th+Street,+Philadelphia,+PA+19104/",['Must reside in 19104 zip code.'],temporarily closed,"The Food Pantry serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of our assistance.This program provides:- Food to meet basic nutritional needsYou must have a referral and make an appointment to access the food pantry. Please contact WhyHunger at 800-548-6479 for the referral.",['English'],Free,Yes,https://www.facebook.com/churchofnewhopeandfaith,None,This program covers residents of the following postal codes: 19104.,39.9650238,-75.199702,19104,No,9:30AM - 3:30PM,Closed,9:30AM - 3:30PM,Closed,9:30AM - 3:30PM,Closed,Closed,3.4,Food
"Food Distribution (North10, Philadelphia)",https://www.auntbertha.com//north10%252C-philadelphia--philadelphia-pa--food-distribution/5743477776973824?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",267-908-9000,https://north10phl.org/health-wellness/,"3890 North 10th Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3890+North+10th+Street,+Philadelphia,+PA+19140/",['Anyone can access this program.'],available,"North10, Philadelphia's Community Market provides a food pantry consisting of quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsPlease call before visiting since registration may be required at times.","['English', 'Spanish']",Free,Yes,https://www.facebook.com/lenfest.ctr/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0116671,-75.144428,19140,No,Closed,10:00AM - 2:00PM,Closed,10:00AM - 2:00PM,Closed,Closed,Closed,4.5,Food
Food Pantry (St. Barbara's Roman Catholic Church),https://www.auntbertha.com//st.-barbara%2527s-roman-catholic-church--philadelphia-pa--food-pantry/4851628329664512?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-473-1044,https://stbarbphila.org/events/food-pantry-ph,"5359 Lebanon Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/profile.php?id=100083359778002,https://www.twitter.com/@SaintBarbPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",39.9878915,-75.231451,19131,No,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,Closed,Closed,4.4,Food
Farm to Families (St. Christopher's Foundation for Children),https://www.auntbertha.com//st.-christopher%2527s-foundation-for-children--philadelphia-pa--farm-to-families/5397808157032448?postal=19131,['food pantry'],['nutrition education'],"['anyone in need', 'all ages', 'individuals', 'families', 'benefit recipients', 'low-income']",484-734-0189,https://scfchildren.org/farm-to-families-initiative/,"4865 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=4865+Market+Street,+Philadelphia,+PA+19139/",['Must be eligible for SNAP benefits.'],available,"Each week, Farm to Families supplies North Philadelphia families with boxes of wholesome fresh produce or fruit at a reduced cost. Boxes are packed with delicious seasonal fruits and vegetables, often valued at double the price. Additional fresh items including local eggs, meat, and seafood are also offered at affordable prices.This program provides:- Food to meet basic nutritional needsFarm to Families also provides food and nutrition education, including food budgeting and shopping tips, basic food preparation and cooking skills, and demonstrations and taste tests, aligned with the weekly boxes.Orders are taken one week in advance. SNAP benefits are all accepted for payment. Farm to Families is open to all with no income restrictions.",['English'],Reduced Cost,Yes,https://www.facebook.com/FarmtoFamilies/,https://www.twitter.com/@FarmtoFamilies,"This program covers residents of the following cities: Philadelphia, PA.",39.9595901,-75.217549,19139,No,Closed,Closed,Closed,11:00AM - 3:00PM,Closed,Closed,Closed,0,Food
Food Pantry (Upper Room Missionary Baptist Church),https://www.auntbertha.com//upper-room-missionary-baptist-church--philadelphia-pa--food-pantry/5789625901776896?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",267-593-4989,https://urmbc.org/,"7236 Ogontz Avenue, Philadelphia, PA 19138","https://www.google.com/maps/?q=7236+Ogontz+Avenue,+Philadelphia,+PA+19138/",['This program serves anyone in need.'],available,Upper Room Missionary Baptist Church offers quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/Upper-Room-Missionary-Baptist-Church-2195510364097911/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.064768,-75.15504,19138,No,10:00AM - 12:00PM,9:00 - 11:00AM,8:30 - 10:00AM,10:00AM - 12:00PM,9:00 - 11:00AM,Closed,Closed,4.6,Food
Food Pantry (St. Luke's Episcopal Church Germantown),https://www.auntbertha.com//st.-luke%2527s-episcopal-church-germantown--philadelphia-pa--food-pantry/5946530422849536?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-844-8544,https://www.stlukesgermantown.com/about-3,"5421 Germantown Avenue, Philadelphia, PA 19144","https://www.google.com/maps/?q=5421+Germantown+Avenue,+Philadelphia,+PA+19144/",['Anyone can access this program.'],temporarily closed,St. Barnabas Pantry provides bags of food to individuals and families in St. Luke's community who are in need.Services provided:- Take-away food bags,['English'],Free,Yes,https://www.facebook.com/St-Lukes-Church-Germantown-111657445537323/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0337844,-75.170977,19144,No,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,Closed,8:00AM - 2:00PM,4.7,Food
Whole Foods Distribution (St. Peter's Evangelical Lutheran Church),https://www.auntbertha.com//st.-peter%2527s-evangelical-lutheran-church--philadelphia-pa--whole-foods-distribution/4649723083096064?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-424-5122,http://www.stpeterswol.org/community/whole-foods-ministry/,"2167 74th Avenue, Philadelphia, PA 19138","https://www.google.com/maps/?q=2167+74th+Avenue,+Philadelphia,+PA+19138/",['Anyone can access this program.'],available,"St. Peter's offers a twice monthly fresh food distribution to anyone who is in need in the community. Services provided:- Fresh food to meet basic nutritional needs The only information required is a name, number of people in the household, and a phone number.",['English'],Free,Yes,https://www.facebook.com/StPeterswol/,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0676098,-75.153953,19138,No,Closed,Closed,10:30AM - 12:00PM,Closed,Closed,Closed,Closed,4.7,Food
Food Bank (Eastwick United Methodist Church),https://www.auntbertha.com//eastwick-united-methodist-church--philadelphia-pa--food-bank/5883670159425536?postal=19131,['food pantry'],['clothing'],"['anyone in need', 'all ages']",215-365-6352,http://eastwickumc.org/ministries/,"8325 Lindbergh Boulevard, Philadelphia, PA 19153","https://www.google.com/maps/?q=8325+Lindbergh+Boulevard,+Philadelphia,+PA+19153/",['Anyone can access this program.'],available,Our food bank is a three-day per week ministry serving Southwest Philadelphia and some parts of Delaware County with food and clothing distribution. It has an added component of Bible Study for those who wish to participate and serves as an evangelistic outreach witness for the church.Services provided:- Food to meet basic nutritional needs- Clothing distribution,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.8981827,-75.252486,19153,No,10:00AM - 1:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,Closed,Closed,Closed,Closed,4.8,Food
Food Distribution (Circle of Hope),https://www.auntbertha.com//circle-of-hope--philadelphia-pa--food-distribution/6326304658030592?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",856-320-8230,https://www.circleofhope.church/,"29 West Tulpehocken Street, Philadelphia, PA 19144","https://www.google.com/maps/?q=29+West+Tulpehocken+Street,+Philadelphia,+PA+19144/",['Those program serves those in Philadelphia and South Jersey.'],full,"Circle of Hope offers food distribution through mutual aid, based on what is currently available.This program provides: - Food distributionPlease note that while those in need can generally call to be added to the waitlist, the list is past capacity and Circle of Hope is not currently accepting new requests for food.",['English'],Free,Yes,https://www.facebook.com/CircleofHopePhillyRegion/,https://www.twitter.com/@CircleofHopeNet,"This program covers residents of the following counties: Camden County, NJ and Philadelphia County, PA.",40.0415456,-75.181191,19144,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3.9,Food
Food Pantry (St. Paul Metropolitan A.M.E. Church),https://www.auntbertha.com//st.-paul-metropolitan-a.m.e.-church--philadelphia-pa--food-pantry/5184746006904832?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-365-3330,http://www.spmame.org/,"8398 Lindbergh Boulevard, Philadelphia, PA 19153","https://www.google.com/maps/?q=8398+Lindbergh+Boulevard,+Philadelphia,+PA+19153/",['Anyone can access this program.'],available,St. Paul Metropolitan A.M.E. Church provides a food pantry for members of their community. The food pantry serves close to 100 families each Thursday.This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.8977253,-75.251502,19153,No,Closed,Closed,Closed,8:00AM - 5:00PM,Closed,Closed,Closed,4.7,Food
Food Pantry (Grace Community Christian Center),https://www.auntbertha.com//grace-community-christian-center--philadelphia-pa--food-pantry/6223467727552512?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-438-3215,http://www.gracebaptistgtn.org/ministries/g-c-c-c,"25 West Johnson Street, Philadelphia, PA 19144","https://www.google.com/maps/?q=25+West+Johnson+Street,+Philadelphia,+PA+19144/",['Anyone can access this program.'],temporarily closed,Grace Community Christian Center food pantry provides supplemental groceries to individuals and families in need of assistance in the community. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",40.045458,-75.182896,19144,No,10:00AM - 1:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,10:00AM - 1:00PM,Closed,Closed,5,Food
Food Pantry (Oxford Circle Christian Community Development Association),https://www.auntbertha.com//oxford-circle-christian-community-development-association-%2528occcda%2529--philadelphia-pa--food-pantry/4675788288688128?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals']",215-288-8504,https://occcda.org/programs/,"6500 Castor Avenue, Philadelphia, PA 19149","https://www.google.com/maps/?q=6500+Castor+Avenue,+Philadelphia,+PA+19149/",['Anyone can access this program.'],available,"The Oxford Circle Christian Community Development Association's food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood pantry times and dates vary per both locations, please call them for more information.","['Chinese', 'English', 'Spanish']",Free,Yes,https://www.facebook.com/occcda/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.040975,-75.076314,19149,No,Closed,Closed,Closed,10:00AM - 2:00PM,Closed,Closed,Closed,4.4,Food
Food Distribution (Kitchen Of Love),https://www.auntbertha.com//kitchen-of-love--philadelphia-pa--food-distribution/5067420438626304?postal=19131,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families', 'undocumented']",215-868-4092,https://kitchenofloveinpa.wixsite.com/kitchen-of-love/events,"8500 Pickering Avenue, Philadelphia, PA 19150","https://www.google.com/maps/?q=8500+Pickering+Avenue,+Philadelphia,+PA+19150/","['Must reside in Philadelphia, PA.']",waitlist,"Kitchen of Love provides Food Distribution to Philadelphia residents in need. Every Thursday canned foods and meat are distributed and every Friday fresh fruits and vegetables are distributed.This program provides:- Food pantryCurrently, they have a waiting list of more than 100 residents, but as they begin to expand, they will begin to pull more residents from the waiting list.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0813989,-75.174694,19150,No,Closed,Closed,9:00 - 11:00AM,9:00 - 11:00AM,9:00 - 11:00AM,Closed,Closed,1,Food
Food Pantry (Annie's Kitchen Food Cupboard),https://www.auntbertha.com//annie%2527s-kitchen-food-cupboard--philadelphia-pa--food-pantry/6598323073581056?postal=19131,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families']",215-848-0916,None,"1980 Church Lane, Philadelphia, PA 19141","https://www.google.com/maps/?q=1980+Church+Lane,+Philadelphia,+PA+19141/",['Anyone can access this program.'],available,"Annie's Kitchen Food Cupboard provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsPlease call to arrange food pick up, the team is not in the building daily, but can come to give you food if arranged.",['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0463325,-75.153195,19141,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.9,Food
Food Pantry (Victory Outreach North Philly),https://www.auntbertha.com//victory-outreach-north-philly--philadelphia-pa--food-pantry/6251195793145856?postal=19131,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",267-344-9665,https://vophila.org/,"4500 Tyson Avenue, Philadelphia, PA 19135","https://www.google.com/maps/?q=4500+Tyson+Avenue,+Philadelphia,+PA+19135/",['Anyone can access this program.'],available,Victory Outreach operates a Food Pantry to help meet the nutritional needs of individuals and families in Philadelphia.This program provides:- Food to meet basic nutritional needsPlease call to verify hours before attending.,['English'],Free,Yes,https://www.facebook.com/vonorthphilly/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.028763,-75.042998,19135,No,Closed,Closed,9:00AM - 12:00PM,Closed,Closed,Closed,Closed,4.6,Food
